# Total velocity (m/s),Air temperature (K),Air pressure (Pa),Mach number (​)
17.482,269.877,7.184e4,0.053
17.474,269.934,7.192e4,0.053
17.467,269.991,7.2e4,0.053
17.458,270.048,7.208e4,0.053
17.45,270.104,7.216e4,0.053
17.443,270.161,7.224e4,0.053
17.435,270.218,7.232e4,0.053
17.427,270.274,7.239e4,0.053
17.42,270.331,7.247e4,0.053
17.412,270.388,7.255e4,0.053
17.405,270.444,7.263e4,0.053
17.396,270.501,7.271e4,0.053
17.388,270.557,7.279e4,0.053
17.381,270.614,7.287e4,0.053
17.373,270.671,7.295e4,0.053
17.367,270.727,7.303e4,0.053
17.358,270.783,7.311e4,0.053
17.35,270.84,7.319e4,0.053
17.343,270.896,7.327e4,0.053
17.336,270.953,7.335e4,0.053
17.327,271.009,7.343e4,0.053
17.32,271.065,7.351e4,0.053
17.313,271.122,7.359e4,0.052
17.305,271.178,7.367e4,0.052
17.298,271.234,7.375e4,0.052
17.29,271.29,7.382e4,0.052
17.283,271.347,7.39e4,0.052
17.275,271.403,7.398e4,0.052
17.269,271.459,7.406e4,0.052
17.26,271.515,7.414e4,0.052
17.253,271.571,7.422e4,0.052
17.246,271.627,7.43e4,0.052
17.238,271.683,7.438e4,0.052
17.231,271.739,7.446e4,0.052
17.224,271.795,7.454e4,0.052
17.216,271.851,7.461e4,0.052
17.209,271.907,7.469e4,0.052
17.201,271.963,7.478e4,0.052
17.194,272.019,7.486e4,0.052
17.186,272.075,7.494e4,0.052
17.179,272.131,7.502e4,0.052
17.171,272.187,7.511e4,0.052
17.163,272.243,7.519e4,0.052
17.156,272.298,7.527e4,0.052
17.148,272.354,7.536e4,0.052
17.14,272.41,7.544e4,0.052
17.133,272.466,7.552e4,0.052
17.125,272.521,7.56e4,0.052
17.118,272.577,7.568e4,0.052
17.111,272.633,7.577e4,0.052
17.102,272.688,7.585e4,0.052
17.095,272.744,7.593e4,0.052
17.087,272.799,7.601e4,0.052
17.08,272.855,7.61e4,0.052
17.072,272.91,7.618e4,0.052
17.065,272.966,7.626e4,0.052
17.058,273.021,7.634e4,0.052
17.05,273.077,7.643e4,0.051
17.044,273.132,7.651e4,0.051
17.034,273.188,7.659e4,0.051
17.027,273.243,7.667e4,0.051
